mouse,time,volume,observation,dose
1,0,2.30E+06,1,
1,6,9.60E+06,1,
1,13,4.43E+07,1,
1,20,1.82E+08,1,
1,27,3.20E+08,1,
2,0,1.30E+06,1,
2,6,5.24E+06,1,
2,13,1.10E+06,1,
2,20,4.40E+05,1,
2,25,,0,2
2,26,,0,2
2,27,2.72E+05,0,2
2,28,,0,2
2,29,,0,2
2,32,,0,2
2,33,,0,2
2,34,3.65E+05,0,2
2,35,,0,2
2,36,,0,2
2,41,6.44E+05,1,
2,48,6.06E+06,1,
2,55,2.81E+07,1,
2,62,3.28E+08,1,
2,68,6.95E+08,1,
2,76,7.04E+07,1,
3,0,1.18E+06,1,
3,6,5.24E+05,1,
3,13,1.85E+06,1,
3,20,2.55E+06,1,
3,25,,0,2
3,26,,0,2
3,27,1.65E+06,0,2
3,28,,0,2
3,29,,0,2
3,32,,0,2
3,33,,0,2
3,34,1.05E+06,0,2
3,35,,0,2
3,36,,0,2
3,41,1.18E+06,1,
3,48,1.30E+06,1,
3,55,2.71E+06,1,
3,62,1.71E+07,1,
3,68,4.78E+07,1,
3,76,1.06E+08,1,
4,0,4.92E+05,1,
4,6,1.79E+06,1,
4,13,1.16E+06,1,
4,20,9.70E+05,1,
4,25,,0,2
4,26,,0,2
4,27,3.43E+05,0,2
4,28,,0,2
4,29,,0,2
4,32,,0,2
4,33,,0,2
4,34,8.38E+05,0,2
4,35,,0,2
4,36,,0,2
4,41,4.19E+06,1,
4,48,7.68E+06,1,
4,55,4.30E+07,1,
4,62,3.36E+08,1,
4,68,4.32E+08,1,
4,76,5.90E+09,1,
5,0,6.83E+05,1,
5,6,3.82E+06,1,
5,13,1.29E+06,1,
5,20,7.52E+05,1,
5,25,,0,2
5,26,,0,2
5,27,3.15E+05,0,2
5,28,,0,2
5,29,,0,2
5,32,,0,2
5,33,,0,2
5,34,1.27E+05,0,2
5,35,,0,2
5,36,,0,2
5,41,3.31E+05,1,
5,48,7.49E+05,1,
5,55,2.99E+06,1,
5,62,2.39E+07,1,
5,68,4.78E+07,1,
5,83,2.90E+08,1,
6,0,1.89E+06,1,
6,6,4.62E+06,1,
6,13,1.52E+07,1,
6,20,1.06E+08,1,
6,27,1.11E+08,1,
6,34,3.42E+08,1,
7,0,1.98E+06,1,
7,6,9.23E+06,1,
7,13,4.69E+06,1,
7,20,4.26E+06,1,
7,25,,0,2
7,26,,0,2
7,27,2.83E+06,0,2
7,28,,0,2
7,29,,0,2
7,32,,0,2
7,33,,0,2
7,34,1.78E+07,0,2
7,35,,0,2
7,36,,0,2
7,41,8.08E+05,1,
7,48,8.41E+05,1,
7,55,4.62E+08,1,
7,62,4.48E+09,1,
7,68,5.22E+09,1,
8,0,9.57E+06,1,
8,6,3.36E+07,1,
8,13,2.10E+07,1,
8,20,2.10E+06,1,
8,25,,0,2
8,26,,0,2
8,27,1.68E+06,0,2
8,28,,0,2
8,29,,0,2
8,32,,0,2
8,33,,0,2
8,34,,0,2
8,35,,0,2
8,36,,0,2
8,41,1.22E+06,1,
8,48,2.42E+06,1,
8,55,2.31E+06,1,
8,62,2.13E+07,1,
8,68,4.71E+07,1,
8,76,8.58E+07,1,
8,83,5.84E+07,1,
9,0,1.87E+06,1,
9,6,4.93E+06,1,
9,13,7.50E+07,1,
9,20,3.98E+08,1,
9,27,1.03E+09,1,
9,34,6.48E+08,1,
10,0,6.90E+05,1,
10,6,9.72E+06,1,
10,13,1.30E+08,1,
10,20,4.03E+08,1,
11,0,8.44E+05,1,
11,6,3.87E+06,1,
11,13,3.74E+06,1,
11,20,3.20E+06,1,
11,25,,0,2
11,26,,0,2
11,27,3.55E+06,0,2
11,28,,0,2
11,29,,0,2
11,32,,0,2
11,33,,0,2
11,34,3.55E+07,0,2
11,35,,0,2
11,36,,0,2
11,41,1.00E+08,1,
11,48,5.64E+08,1,
12,0,7.35E+05,1,
12,6,2.21E+06,1,
12,13,1.84E+07,1,
12,20,9.00E+07,1,
12,27,3.00E+08,1,
12,34,1.19E+09,1,
12,41,2.18E+09,1,
13,0,1.18E+06,1,
