days,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,20Gy_1,20Gy_2,20Gy_3,20Gy_4,20Gy_5,20Gy_6,54Gy_1,54Gy_2,54Gy_3,54Gy_4,54Gy_5,54Gy_6
0,5.30E+05,3.58E+05,2.26E+05,1.91E+05,1.69E+05,5.07E+05,4.12E+05,5.56E+05,2.25E+05,4.90E+05,1.96E+05,1.59E+05,4.37E+05,7.94E+05,2.33E+05,1.87E+05,3.09E+05,1.73E+05
8,2.07E+06,6.02E+05,3.44E+05,2.13E+05,6.53E+05,1.19E+06,1.35E+05,2.13E+06,5.05E+05,1.49E+06,5.21E+05,9.36E+05,1.21E+06,7.97E+06,1.84E+05,4.77E+05,5.33E+05,1.83E+05
13,4.89E+07,3.40E+06,1.46E+06,1.35E+06,1.24E+06,4.93E+06,5.78E+05,8.48E+05,3.46E+05,4.87E+05,2.63E+05,1.91E+05,6.58E+05,6.05E+05,3.09E+05,1.76E+05,4.59E+05,1.26E+05
21,1.36E+08,1.48E+07,7.96E+06,6.91E+06,7.02E+06,2.07E+07,2.23E+05,2.34E+05,1.49E+05,2.66E+05,1.61E+05,7.42E+04,2.74E+05,2.89E+06,1.63E+05,4.86E+04,1.96E+05,1.10E+05
28,1.27E+08,3.71E+07,1.35E+07,7.92E+06,2.47E+06,6.35E+07,5.91E+04,1.48E+05,9.41E+04,1.74E+05,1.24E+05,1.03E+05,3.30E+05,1.95E+06,1.83E+05,1.34E+05,1.98E+05,9.67E+04
35,1.27E+08,3.71E+07,1.35E+07,7.92E+06,2.47E+06,6.35E+05,5.91E+04,1.19E+05,1.09E+05,1.74E+05,8.05E+04,1.14E+05,3.30E+05,1.95E+06,1.61E+05,1.07E+05,1.98E+05,8.93E+04
42,3.87E+08,1.92E+08,1.44E+08,9.54E+07,1.19E+08,5.63E+08,1.85E+05,1.39E+05,1.00E+05,1.54E+05,1.43E+05,9.37E+04,5.93E+05,1.17E+06,1.61E+05,1.08E+05,1.67E+05,8.54E+04
49,,,,2.21E+08,2.70E+08,7.08E+08,3.86E+05,1.88E+05,1.58E+05,3.86E+05,4.06E+05,6.97E+04,2.59E+05,7.82E+05,1.52E+05,1.28E+05,1.47E+05,9.92E+04
56,,,,2.67E+08,,,1.62E+06,6.86E+05,5.70E+05,2.81E+06,2.73E+06,2.29E+05,2.69E+05,5.26E+05,1.81E+05,1.08E+05,1.12E+05,1.31E+05
63,,,,,,,3.26E+06,2.44E+06,3.15E+06,7.98E+06,2.74E+07,7.97E+05,1.14E+05,6.05E+05,1.64E+05,1.18E+05,1.65E+05,1.31E+05
70,,,,,,,3.19E+07,1.61E+07,9.68E+06,1.01E+07,1.23E+08,8.05E+05,1.42E+05,4.80E+05,1.01E+05,1.34E+05,1.13E+05,1.43E+05
77,,,,,,,2.97E+07,6.86E+07,8.32E+07,1.60E+07,6.27E+07,6.50E+06,1.00E+05,2.28E+05,7.48E+04,1.12E+05,1.56E+05,5.39E+04
84,,,,,,,2.19E+08,4.03E+07,2.21E+08,2.63E+07,,8.19E+06,1.02E+05,3.99E+05,7.30E+04,7.30E+04,1.99E+05,9.27E+04
91,,,,,,,,1.86E+08,2.75E+07,9.95E+07,,,1.29E+05,3.60E+05,1.12E+05,1.13E+05,1.44E+05,8.44E+04
98,,,,,,,,3.18E+08,,,,,1.02E+05,3.88E+05,8.56E+04,1.02E+05,1.08E+05,
