days,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,rt1,rt2,rt3,rt4,rt5,rt6
0,5.30E+05,3.58E+05,2.26E+05,1.91E+05,1.69E+05,5.07E+05,4.37E+05,7.94E+05,2.33E+05,1.87E+05,3.09E+05,1.73E+05
8,2.07E+06,6.02E+05,3.44E+05,2.13E+05,6.53E+05,1.19E+06,1.21E+06,7.97E+06,1.84E+05,4.77E+05,5.33E+05,1.83E+05
13,4.89E+07,3.40E+06,1.46E+06,1.35E+06,1.24E+06,4.93E+06,6.58E+05,6.05E+05,3.09E+05,1.76E+05,4.59E+05,1.26E+05
21,1.36E+08,1.48E+07,7.96E+06,6.91E+06,7.02E+06,2.07E+07,2.74E+05,2.89E+06,1.63E+05,4.86E+04,1.96E+05,1.10E+05
28,1.27E+08,3.71E+07,1.35E+07,7.92E+06,2.47E+06,6.35E+07,3.30E+05,1.95E+06,1.83E+05,1.34E+05,1.98E+05,9.67E+04
35,1.27E+08,3.71E+07,1.35E+07,7.92E+06,2.47E+06,6.35E+05,3.30E+05,1.95E+06,1.61E+05,1.07E+05,1.98E+05,8.93E+04
42,3.87E+08,1.92E+08,1.44E+08,9.54E+07,1.19E+08,5.63E+08,5.93E+05,1.17E+06,1.61E+05,1.08E+05,1.67E+05,8.54E+04
49,,,,2.21E+08,2.70E+08,7.08E+08,2.59E+05,7.82E+05,1.52E+05,1.28E+05,1.47E+05,9.92E+04
56,,,,2.67E+08,,,2.69E+05,5.26E+05,1.81E+05,1.08E+05,1.12E+05,1.31E+05
63,,,,,,,1.14E+05,6.05E+05,1.64E+05,1.18E+05,1.65E+05,1.31E+05
70,,,,,,,1.42E+05,4.80E+05,1.01E+05,1.34E+05,1.13E+05,1.43E+05
77,,,,,,,1.00E+05,2.28E+05,7.48E+04,1.12E+05,1.56E+05,5.39E+04
84,,,,,,,1.02E+05,3.99E+05,7.30E+04,7.30E+04,1.99E+05,9.27E+04
91,,,,,,,1.29E+05,3.60E+05,1.12E+05,1.13E+05,1.44E+05,8.44E+04
98,,,,,,,1.02E+05,3.88E+05,8.56E+04,1.02E+05,1.08E+05,
