days,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,ctrl7,rt1,rt2,rt3,rt4,rt5,rt6,rt7
0,2.30E+06,1.89E+06,1.87E+06,6.90E+05,7.35E+05,1.18E+06,4.19E+05,1.30E+06,1.18E+06,4.92E+05,6.83E+05,1.98E+06,9.57E+06,8.44E+05
6,9.60E+06,4.62E+06,4.93E+06,9.72E+06,2.21E+06,4.32E+06,4.09E+06,5.24E+06,5.24E+05,1.79E+06,3.82E+06,9.23E+06,3.36E+07,3.87E+06
13,4.43E+07,1.52E+07,7.50E+07,1.30E+08,1.84E+07,3.05E+07,4.02E+07,1.10E+06,1.85E+06,1.16E+06,1.29E+06,4.69E+06,2.10E+07,3.74E+06
20,1.82E+08,1.06E+08,3.98E+08,4.03E+08,9.00E+07,1.84E+08,2.51E+08,4.40E+05,2.55E+06,9.70E+05,7.52E+05,4.26E+06,2.10E+06,3.20E+06
27,3.20E+08,1.11E+08,1.03E+09,,3.00E+08,1.94E+08,9.80E+08,2.72E+05,1.65E+06,3.43E+05,3.15E+05,2.83E+06,1.68E+06,3.55E+06
41,,3.42E+08,6.48E+08,,1.19E+09,,2.60E+09,3.65E+05,1.05E+06,8.38E+05,2.00E+05,1.78E+07,1.22E+06,3.55E+07
48,,,,,2.18E+09,,3.51E+09,6.44E+05,1.18E+06,4.19E+06,3.31E+05,8.08E+05,2.42E+06,1.00E+08
55,,,,,,,,6.06E+06,1.30E+06,7.68E+06,7.49E+05,8.41E+05,2.31E+06,5.64E+08
62,,,,,,,,2.81E+07,2.71E+06,4.30E+07,2.99E+06,4.62E+08,2.13E+07,
68,,,,,,,,3.28E+08,1.71E+07,3.36E+08,2.39E+07,4.48E+09,4.71E+07,
76,,,,,,,,6.95E+08,4.78E+07,4.32E+08,4.78E+07,5.22E+09,8.58E+07,
83,,,,,,,,7.04E+07,1.06E+08,5.90E+09,2.90E+08,,5.84E+07,
