days,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,ctrl7,ctrl8,20Gy_1,20Gy_2,20Gy_3,20Gy_4,20Gy_5,20Gy_6,20Gy_7
0,5.07E+06,6.67E+06,6.03E+06,1.07E+07,1.28E+07,1.65E+07,7.38E+06,5.65E+06,9.55E+06,4.33E+06,7.01E+06,5.42E+06,1.62E+07,6.03E+06,5.15E+06
3,1.31E+07,7.51E+06,7.47E+06,1.67E+07,2.53E+07,9.25E+06,6.70E+06,4.09E+06,1.24E+07,7.98E+06,1.89E+06,1.04E+07,2.87E+07,4.83E+06,7.61E+06
7,1.29E+07,1.79E+07,3.14E+07,2.17E+07,1.37E+07,5.84E+07,2.12E+07,2.90E+07,1.51E+07,4.30E+06,6.52E+06,1.03E+07,1.69E+07,7.59E+06,5.26E+06
10,1.20E+07,3.84E+07,1.31E+07,3.93E+07,1.51E+08,4.78E+07,4.20E+07,3.06E+07,1.19E+07,5.69E+06,7.58E+06,9.43E+06,1.21E+07,1.96E+05,4.81E+06
14,6.20E+07,6.61E+07,6.22E+07,9.11E+10,5.87E+08,1.92E+08,1.28E+07,1.29E+08,1.06E+07,7.19E+06,5.44E+06,1.08E+07,1.15E+07,1.71E+06,5.83E+06
17,6.53E+07,6.37E+07,8.26E+07,7.86E+07,1.01E+09,2.41E+08,8.97E+07,2.12E+08,6.06E+06,3.81E+06,3.85E+06,6.38E+06,4.30E+06,6.25E+06,3.62E+06
21,1.06E+07,6.13E+08,1.76E+08,1.80E+08,1.97E+09,1.87E+09,2.80E+08,3.97E+08,1.59E+06,1.19E+07,5.07E+06,6.12E+06,9.73E+06,6.53E+06,7.82E+06
24,1.16E+08,,2.31E+08,2.17E+08,2.76E+09,2.29E+09,3.33E+08,6.25E+08,6.79E+06,2.19E+07,6.26E+06,5.19E+06,1.34E+07,8.34E+06,9.45E+06
28,2.26E+08,,1.68E+08,3.35E+08,4.76E+09,3.94E+09,9.32E+08,3.05E+08,2.99E+06,3.55E+06,1.10E+07,6.67E+06,9.99E+06,1.20E+07,1.57E+07
31,9.70E+07,,6.22E+08,5.58E+08,3.93E+09,,6.71E+08,2.43E+09,5.09E+06,5.98E+07,1.56E+07,9.06E+06,2.97E+07,1.61E+07,3.04E+07
35,7.32E+08,,,,,,,3.96E+09,1.74E+07,1.10E+08,2.75E+07,1.63E+07,4.02E+07,3.22E+07,6.87E+07
38,,,,,,,,,8.11E+06,1.49E+08,5.84E+07,2.38E+07,7.56E+07,8.83E+07,9.53E+07
43,,,,,,,,,8.11E+07,3.02E+08,1.03E+08,5.15E+07,2.06E+08,1.59E+08,1.54E+08
46,,,,,,,,,5.81E+07,5.99E+08,2.03E+08,8.42E+07,5.09E+08,2.43E+08,2.27E+08
