mouse,time,volume,observation,dose,modality
1,26,411000,1,,0
1,27,,0,2,2
1,29,,0,2,2
1,31,,0,2,2
1,34,,0,2,2
1,36,,0,2,2
1,38,,0,2,2
1,59,736000,1,,0
1,71,1070000,1,,0
1,82,2134000,1,,0
1,100,20100000,1,,0
2,26,416000,1,,0
2,27,,0,2,2
2,29,,0,2,2
2,31,,0,2,2
2,34,,0,2,2
2,36,,0,2,2
2,38,,0,2,2
2,59,794000,1,,0
2,71,848000,1,,0
2,82,1108000,1,,0
2,100,1473000,1,,0
3,26,351000,1,,0
3,27,,0,2,2
3,29,,0,2,2
3,31,,0,2,2
3,34,,0,2,2
3,36,,0,2,2
3,38,,0,2,2
3,59,584000,1,,0
3,71,689000,1,,0
3,82,890300,1,,0
3,100,1965000,1,,0
4,26,900000,1,,0
4,27,,0,2,2
4,29,,0,2,2
4,31,,0,2,2
4,34,,0,2,2
4,36,,0,2,2
4,38,,0,2,2
4,59,926000,1,,0
4,71,3470000,1,,0
4,82,18220000,1,,0
4,100,112200000,1,,0
5,26,284000,1,,0
5,27,,0,2,2
5,29,,0,2,2
5,31,,0,2,2
5,34,,0,2,2
5,36,,0,2,2
5,38,,0,2,2
5,59,596000,1,,0
5,71,704000,1,,0
5,82,1462000,1,,0
5,100,1013000,1,,0
6,26,177000,1,,0
6,27,,0,2,2
6,29,,0,2,2
6,31,,0,2,2
6,34,,0,2,2
6,36,,0,2,2
6,38,,0,2,2
6,59,220000,1,,0
6,71,227000,1,,0
6,82,217600,1,,0
6,100,547400,1,,0
7,26,725000,1,,0
7,27,,0,2,2
7,29,,0,2,2
7,31,,0,2,2
7,34,,0,2,2
7,36,,0,2,2
7,38,,0,2,2
7,41,,0,50,1
7,43,,0,50,1
7,45,,0,50,1
7,48,,0,50,1
7,50,,0,50,1
7,52,,0,50,1
7,55,,0,50,1
7,56,,0,50,1
7,57,,0,50,1
7,58,,0,50,1
7,59,,0,50,1
7,59,1040000,1,,0
7,62,,0,100,1
7,63,,0,100,1
7,64,,0,100,1
7,65,,0,100,1
7,66,,0,100,1
7,71,903000,1,,0
7,82,1924000,1,,0
7,100,1488000,1,,0
8,26,216000,1,,0
8,27,,0,2,2
8,29,,0,2,2
8,31,,0,2,2
8,34,,0,2,2
8,36,,0,2,2
8,38,,0,2,2
8,41,,0,50,1
8,43,,0,50,1
8,45,,0,50,1
8,47,,0,50,1
8,50,,0,50,1
8,52,,0,50,1
8,55,,0,50,1
8,56,,0,50,1
8,57,,0,50,1
8,58,,0,50,1
8,59,,0,50,1
8,59,464000,1,,0
8,62,,0,100,1
