mouse,time,volume,observation,dose,modality
1,14,4.41E+05,1,,0
1,21,4.47E+05,1,,0
1,30,6.88E+05,1,,0
1,48,1.06E+06,1,,0
1,54,1.17E+06,1,,0
1,68,2.12E+06,1,,0
1,82,2.45E+06,1,,0
1,97,3.21E+06,1,,0
1,104,3.94E+06,1,,0
1,111,6.61E+06,1,,0
1,118,6.89E+06,1,,0
1,125,1.48E+07,1,,0
1,132,3.25E+07,1,,0
1,139,6.38E+07,1,,0
1,146,8.08E+07,1,,0
1,153,1.91E+08,1,,0
1,160,2.95E+08,1,,0
1,167,3.79E+08,1,,0
1,174,4.02E+08,1,,0
1,181,6.67E+08,1,,0
1,188,1.11E+09,1,,0
1,195,9.81E+08,1,,0
1,202,1.21E+09,1,,0
1,209,1.36E+09,1,,0
1,216,1.72E+09,1,,0
1,229,1.26E+09,1,,0
1,238,1.64E+09,1,,0
1,244,2.18E+09,1,,0
1,251,2.04E+09,1,,0
1,264,2.02E+09,1,,0
2,14,2.07E+05,1,,0
2,21,3.07E+05,1,,0
2,30,4.26E+05,1,,0
2,48,3.98E+05,1,,0
2,54,4.49E+05,1,,0
2,68,8.58E+05,1,,0
2,82,9.56E+05,1,,0
2,97,1.20E+06,1,,0
2,104,2.29E+06,1,,0
2,111,3.44E+06,1,,0
2,118,5.54E+06,1,,0
2,125,1.25E+07,1,,0
2,132,1.37E+07,1,,0
2,139,2.64E+07,1,,0
2,146,3.52E+07,1,,0
2,153,3.02E+07,1,,0
2,160,3.36E+07,1,,0
2,167,3.65E+07,1,,0
2,174,5.43E+07,1,,0
2,181,6.92E+07,1,,0
2,188,1.17E+08,1,,0
2,195,1.29E+08,1,,0
2,202,1.62E+08,1,,0
2,209,2.04E+08,1,,0
2,216,4.21E+08,1,,0
2,229,3.85E+08,1,,0
2,238,7.35E+08,1,,0
2,244,8.29E+08,1,,0
2,251,9.92E+08,1,,0
2,264,9.91E+08,1,,0
2,271,1.09E+09,1,,0
2,285,9.10E+08,1,,0
3,14,4.98E+05,1,,0
3,21,6.73E+05,1,,0
3,30,7.74E+05,1,,0
3,48,5.27E+05,1,,0
3,54,5.81E+05,1,,0
3,68,1.32E+06,1,,0
3,82,1.48E+06,1,,0
3,97,1.64E+06,1,,0
3,104,2.80E+06,1,,0
3,111,3.76E+06,1,,0
3,118,3.56E+06,1,,0
3,125,5.66E+06,1,,0
3,132,9.94E+06,1,,0
3,139,1.52E+07,1,,0
3,146,2.17E+07,1,,0
3,153,2.81E+07,1,,0
3,160,4.29E+07,1,,0
3,167,5.86E+07,1,,0
3,174,8.34E+07,1,,0
3,181,9.18E+07,1,,0
3,188,1.84E+08,1,,0
3,195,1.94E+08,1,,0
3,202,2.64E+08,1,,0
3,209,3.36E+08,1,,0
3,216,4.75E+08,1,,0
3,229,2.40E+08,1,,0
3,238,6.00E+08,1,,0
3,244,7.63E+08,1,,0
3,251,6.47E+08,1,,0
4,14,2.29E+05,1,,0
4,21,4.59E+05,1,,0
4,30,6.45E+05,1,,0
4,48,7.74E+05,1,,0
4,54,6.97E+05,1,,0
4,68,2.24E+06,1,,0
4,82,1.87E+06,1,,0
4,97,1.93E+06,1,,0
4,104,2.08E+06,1,,0
4,111,1.93E+06,1,,0
4,118,1.58E+06,1,,0
4,125,1.93E+06,1,,0
4,132,2.55E+06,1,,0
4,139,4.56E+06,1,,0
4,146,6.52E+06,1,,0
4,153,6.18E+06,1,,0
4,160,7.25E+06,1,,0
4,167,9.43E+06,1,,0
4,174,1.87E+07,1,,0
4,181,4.21E+07,1,,0
4,188,5.46E+07,1,,0
4,195,6.38E+07,1,,0
4,202,7.81E+07,1,,0
4,209,1.11E+08,1,,0
4,216,1.85E+08,1,,0
4,229,2.48E+08,1,,0
5,14,1.64E+06,1,,0
5,21,1.81E+06,1,,0
5,30,1.90E+06,1,,0
5,48,1.98E+06,1,,0
5,54,1.69E+06,1,,0
5,68,3.49E+06,1,,0
5,82,4.30E+06,1,,0
5,97,5.74E+06,1,,0
5,104,6.76E+06,1,,0
5,111,8.88E+06,1,,0
5,118,7.53E+06,1,,0
5,125,1.54E+07,1,,0
5,132,2.54E+07,1,,0
5,139,3.89E+07,1,,0
5,146,4.26E+07,1,,0
5,153,7.09E+07,1,,0
5,160,1.02E+08,1,,0
5,167,1.55E+08,1,,0
5,174,1.71E+08,1,,0
5,181,2.46E+08,1,,0
5,188,4.35E+08,1,,0
5,195,4.86E+08,1,,0
5,202,5.30E+08,1,,0
5,209,5.90E+08,1,,0
5,216,1.01E+09,1,,0
5,229,7.68E+08,1,,0
5,238,1.15E+09,1,,0
5,244,1.39E+09,1,,0
5,251,1.47E+09,1,,0
5,264,1.70E+09,1,,0
5,271,1.74E+09,1,,0
5,285,1.20E+09,1,,0
6,26,411000,1,,0
6,28,,0,2,2
6,30,,0,2,2
6,32,,0,2,2
6,35,,0,2,2
6,37,,0,2,2
